Description;Standard;GUID;Revision;Description3;Revision6;Code;ShortDescription;Description7;Position
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/0_MNd;8000/0 Benigne Neoplasie o.n.A.;8000/0 Benigne Neoplasie o.n.A.;36
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/0_r97;8000/0 Benigner Tumor;8000/0 Benigner Tumor;37
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/0_wef;8000/0 Benigner unklassifizierter Tumor;8000/0 Benigner unklassifizierter Tumor;38
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/1_13F;8000/1 Neoplasie fraglicher Dignität;8000/1 Neoplasie fraglicher Dignität;39
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/1_6zv;8000/1 Tumor o.n.A.;8000/1 Tumor o.n.A.;41
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/1_O8A;8000/1 Unklassifizierter Tumor fraglicher Dignität;8000/1 Unklassifizierter Tumor fraglicher Dignität;42
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/1_oDC;8000/1 Unklassifizierter Tumor, Borderline-Typ;8000/1 Unklassifizierter Tumor, Borderline-Typ;43
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/1_y2B;8000/1 Neoplasie o.n.A.;8000/1 Neoplasie o.n.A.;40
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/3_+UQ;8000/3 Maligner Tumor o.n.A.;8000/3 Maligner Tumor o.n.A.;47
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/3_5bd;8000/3 Malignom;8000/3 Malignom;48
