Description;Standard;GUID;Revision;Description3;Revision6;Code;ShortDescription;Description7;Position
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00 Lippe;C00 Lippe;C00 Lippe;1
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00.0 _6NV;C00.0 Oberlippe o.n.A. (Exkl.: Äußere Haut der Oberlippe [C44.0]);C00.0 Oberlippe o.n.A. (Exkl.: Äußere Haut der Oberlippe [C44.0]);5
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00.0 _SVp;C00.0 Äußere Oberlippe;C00.0 Äußere Oberlippe;3
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00.0 _w7T;C00.0 Oberlippe, Lippenrot;C00.0 Oberlippe, Lippenrot;6
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00.1 _fQb;C00.1 Unterlippe o.n.A. (Exkl.: Äußere Haut der Unterlippe [C44.0]);C00.1 Unterlippe o.n.A. (Exkl.: Äußere Haut der Unterlippe [C44.0]);11
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00.1 _I4C;C00.1 Unterlippe, Lippenrot;C00.1 Unterlippe, Lippenrot;12
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00.1 _P7E;C00.1 Äußere Unterlippe;C00.1 Äußere Unterlippe;9
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00.2 _cJX;C00.2 Äußere Lippe o.n.A.;C00.2 Äußere Lippe o.n.A.;15
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00.3 _e7z;C00.3 Schleimhaut der Oberlippe;C00.3 Schleimhaut der Oberlippe;17
ICD-O-3 topology codes;SIMPLE;d57ca376-12f2-408c-86ba-20199ee5ff79;19;ICD-O-3 Topologie 2019 (Revision 2);4;C00.3 _FMW;C00.3 Lippenbändchen der Oberlippe, Frenulum der Oberlippe;C00.3 Lippenbändchen der Oberlippe, Frenulum der Oberlippe;19
